County,Farm_type,Quality,Price
Bedfordshire,Arable,Prime,8625
Bedfordshire,Arable,Average,7963
Bedfordshire,Arable,Poor,7300
Bedfordshire,Pasture,Prime,7000
Bedfordshire,Pasture,Average,6375
Bedfordshire,Pasture,Poor,5750
Berkshire,Arable,Prime,9600
Berkshire,Arable,Average,8675
Berkshire,Arable,Poor,7750
Berkshire,Pasture,Prime,10500
Berkshire,Pasture,Average,8750
Berkshire,Pasture,Poor,7000
Buckinghamshire,Arable,Prime,8600
Buckinghamshire,Arable,Average,7800
Buckinghamshire,Arable,Poor,7000
Buckinghamshire,Pasture,Prime,6850
Buckinghamshire,Pasture,Average,6175
Buckinghamshire,Pasture,Poor,5500
Cambridgeshire,Arable,Prime,8400
Cambridgeshire,Arable,Average,7575
Cambridgeshire,Arable,Poor,6750
Cambridgeshire,Pasture,Prime,NA
Cambridgeshire,Pasture,Average,4140
Cambridgeshire,Pasture,Poor,4140
Cheshire,Arable,Prime,9600
Cheshire,Arable,Average,7950
Cheshire,Arable,Poor,6300
Cheshire,Pasture,Prime,10600
Cheshire,Pasture,Average,9050
Cheshire,Pasture,Poor,7500
Cornwall,Arable,Prime,10000
Cornwall,Arable,Average,9000
Cornwall,Arable,Poor,8000
Cornwall,Pasture,Prime,6900
Cornwall,Pasture,Average,5520
Cornwall,Pasture,Poor,4140
County_Durham,Arable,Prime,6600
County_Durham,Arable,Average,5900
County_Durham,Arable,Poor,5200
County_Durham,Pasture,Prime,5900
County_Durham,Pasture,Average,5375
County_Durham,Pasture,Poor,4850
Cumbria,Arable,Prime,6555
Cumbria,Arable,Average,5865
Cumbria,Arable,Poor,5175
Cumbria,Pasture,Prime,6210
Cumbria,Pasture,Average,5520
Cumbria,Pasture,Poor,4830
Derbyshire,Arable,Prime,6900
Derbyshire,Arable,Average,6200
Derbyshire,Arable,Poor,5500
Derbyshire,Pasture,Prime,6210
Derbyshire,Pasture,Average,5693
Derbyshire,Pasture,Poor,5175
Devon,Arable,Prime,9500
Devon,Arable,Average,8500
Devon,Arable,Poor,7500
Devon,Pasture,Prime,7500
Devon,Pasture,Average,6500
Devon,Pasture,Poor,5500
Dorset,Arable,Prime,8500
Dorset,Arable,Average,7725
Dorset,Arable,Poor,6950
Dorset,Pasture,Prime,6555
Dorset,Pasture,Average,6038
Dorset,Pasture,Poor,5520
East_Sussex,Arable,Prime,8550
East_Sussex,Arable,Average,7775
East_Sussex,Arable,Poor,7000
East_Sussex,Pasture,Prime,6500
East_Sussex,Pasture,Average,5875
East_Sussex,Pasture,Poor,5250
Essex,Arable,Prime,9500
Essex,Arable,Average,8750
Essex,Arable,Poor,8000
Essex,Pasture,Prime,NA
Essex,Pasture,Average,NA
Essex,Pasture,Poor,NA
Gloucestershire,Arable,Prime,9750
Gloucestershire,Arable,Average,9125
Gloucestershire,Arable,Poor,8500
Gloucestershire,Pasture,Prime,7800
Gloucestershire,Pasture,Average,6900
Gloucestershire,Pasture,Poor,6000
Hampshire,Arable,Prime,9800
Hampshire,Arable,Average,9100
Hampshire,Arable,Poor,8400
Hampshire,Pasture,Prime,7000
Hampshire,Pasture,Average,6500
Hampshire,Pasture,Poor,6000
Herefordshire,Arable,Prime,9000
Herefordshire,Arable,Average,8500
Herefordshire,Arable,Poor,8000
Herefordshire,Pasture,Prime,7600
Herefordshire,Pasture,Average,6563
Herefordshire,Pasture,Poor,5525
Hertfordshire,Arable,Prime,8400
Hertfordshire,Arable,Average,7700
Hertfordshire,Arable,Poor,7000
Hertfordshire,Pasture,Prime,6800
Hertfordshire,Pasture,Average,5825
Hertfordshire,Pasture,Poor,4850
Kent,Arable,Prime,9250
Kent,Arable,Average,8525
Kent,Arable,Poor,7800
Kent,Pasture,Prime,7250
Kent,Pasture,Average,6125
Kent,Pasture,Poor,5000
Lancashire,Arable,Prime,8000
Lancashire,Arable,Average,7000
Lancashire,Arable,Poor,6000
Lancashire,Pasture,Prime,6500
Lancashire,Pasture,Average,5750
Lancashire,Pasture,Poor,5000
Leicestershire,Arable,Prime,8300
Leicestershire,Arable,Average,7950
Leicestershire,Arable,Poor,7600
Leicestershire,Pasture,Prime,7400
Leicestershire,Pasture,Average,6325
Leicestershire,Pasture,Poor,5250
Lincolnshire,Arable,Prime,8500
Lincolnshire,Arable,Average,7875
Lincolnshire,Arable,Poor,7250
Lincolnshire,Pasture,Prime,NA
Lincolnshire,Pasture,Average,NA
Lincolnshire,Pasture,Poor,5000
Norfolk,Arable,Prime,9000
Norfolk,Arable,Average,8500
Norfolk,Arable,Poor,8000
Norfolk,Pasture,Prime,5000
Norfolk,Pasture,Average,4000
Norfolk,Pasture,Poor,3000
Northamptonshire,Arable,Prime,9250
Northamptonshire,Arable,Average,8625
Northamptonshire,Arable,Poor,8000
Northamptonshire,Pasture,Prime,7800
Northamptonshire,Pasture,Average,7150
Northamptonshire,Pasture,Poor,6500
Northumberland,Arable,Prime,9660
Northumberland,Arable,Average,7245
Northumberland,Arable,Poor,4830
Northumberland,Pasture,Prime,4830
Northumberland,Pasture,Average,3105
Northumberland,Pasture,Poor,1380
Oxfordshire,Arable,Prime,8650
Oxfordshire,Arable,Average,8325
Oxfordshire,Arable,Poor,8000
Oxfordshire,Pasture,Prime,7250
Oxfordshire,Pasture,Average,6750
Oxfordshire,Pasture,Poor,6250
Shropshire,Arable,Prime,9500
Shropshire,Arable,Average,9000
Shropshire,Arable,Poor,8500
Shropshire,Pasture,Prime,7500
Shropshire,Pasture,Average,6350
Shropshire,Pasture,Poor,5200
Somerset,Arable,Prime,9750
Somerset,Arable,Average,8850
Somerset,Arable,Poor,7950
Somerset,Pasture,Prime,7000
Somerset,Pasture,Average,5500
Somerset,Pasture,Poor,4000
South_Gloucestershire,Arable,Prime,8590
South_Gloucestershire,Arable,Average,7795
South_Gloucestershire,Arable,Poor,7000
South_Gloucestershire,Pasture,Prime,7000
South_Gloucestershire,Pasture,Average,5625
South_Gloucestershire,Pasture,Poor,4250
Staffordshire,Arable,Prime,9500
Staffordshire,Arable,Average,8375
Staffordshire,Arable,Poor,7250
Staffordshire,Pasture,Prime,7250
Staffordshire,Pasture,Average,6875
Staffordshire,Pasture,Poor,6500
Suffolk,Arable,Prime,9000
Suffolk,Arable,Average,8625
Suffolk,Arable,Poor,8250
Suffolk,Pasture,Prime,6900
Suffolk,Pasture,Average,6200
Suffolk,Pasture,Poor,5500
Surrey,Arable,Prime,9000
Surrey,Arable,Average,8550
Surrey,Arable,Poor,8100
Surrey,Pasture,Prime,8750
Surrey,Pasture,Average,7875
Surrey,Pasture,Poor,7000
Warwickshire,Arable,Prime,9250
Warwickshire,Arable,Average,8625
Warwickshire,Arable,Poor,8000
Warwickshire,Pasture,Prime,7800
Warwickshire,Pasture,Average,7150
Warwickshire,Pasture,Poor,6500
West_Sussex,Arable,Prime,8550
West_Sussex,Arable,Average,7775
West_Sussex,Arable,Poor,7000
West_Sussex,Pasture,Prime,7500
West_Sussex,Pasture,Average,6875
West_Sussex,Pasture,Poor,6250
Wiltshire,Arable,Prime,9500
Wiltshire,Arable,Average,8250
Wiltshire,Arable,Poor,7000
Wiltshire,Pasture,Prime,6600
Wiltshire,Pasture,Average,5550
Wiltshire,Pasture,Poor,4500
Worcestershire,Arable,Prime,8900
Worcestershire,Arable,Average,8400
Worcestershire,Arable,Poor,7900
Worcestershire,Pasture,Prime,7750
Worcestershire,Pasture,Average,6750
Worcestershire,Pasture,Poor,5750
Yorkshire,Arable,Prime,8500
Yorkshire,Arable,Average,7850
Yorkshire,Arable,Poor,7200
Yorkshire,Pasture,Prime,7000
Yorkshire,Pasture,Average,6000
Yorkshire,Pasture,Poor,5000
